Interface    Master    IPv6 address/mask                         Admin/Oper    BGP Neighbor    Neighbor IP
-----------  --------  ----------------------------------------  ------------  --------------  -------------
Bridge                 fe80::a8c1:abff:fe77:e76e%Bridge/64       up/up         N/A             N/A
Ethernet0              fe80::a8c1:abff:fe77:e76e%Ethernet0/64    up/up         N/A             N/A
Ethernet4              fe80::a8c1:abff:fe77:e76e%Ethernet4/64    up/up         N/A             N/A
Ethernet8              fe80::a8c1:abff:fe77:e76e%Ethernet8/64    up/up         N/A             N/A
Ethernet12             fe80::a8c1:abff:fe77:e76e%Ethernet12/64   up/up         N/A             N/A
Ethernet16             fe80::a8c1:abff:fe77:e76e%Ethernet16/64   up/up         N/A             N/A
Ethernet20             fe80::a8c1:abff:fe77:e76e%Ethernet20/64   up/up         N/A             N/A
Ethernet24             fe80::a8c1:abff:fe77:e76e%Ethernet24/64   up/up         N/A             N/A
Ethernet28             fe80::a8c1:abff:fe77:e76e%Ethernet28/64   up/up         N/A             N/A
Ethernet32             fe80::a8c1:abff:fe77:e76e%Ethernet32/64   up/up         N/A             N/A
Ethernet36             fe80::a8c1:abff:fe77:e76e%Ethernet36/64   up/up         N/A             N/A
Ethernet40             fe80::a8c1:abff:fe77:e76e%Ethernet40/64   up/up         N/A             N/A
Ethernet44             fe80::a8c1:abff:fe77:e76e%Ethernet44/64   up/up         N/A             N/A
Ethernet48             fe80::a8c1:abff:fe77:e76e%Ethernet48/64   up/up         N/A             N/A
Ethernet52             fe80::a8c1:abff:fe77:e76e%Ethernet52/64   up/up         N/A             N/A
Ethernet56             fe80::a8c1:abff:fe77:e76e%Ethernet56/64   up/up         N/A             N/A
Ethernet60             fe80::a8c1:abff:fe77:e76e%Ethernet60/64   up/up         N/A             N/A
Ethernet64             fe80::a8c1:abff:fe77:e76e%Ethernet64/64   up/up         N/A             N/A
Ethernet68             fe80::a8c1:abff:fe77:e76e%Ethernet68/64   up/up         N/A             N/A
Ethernet72             fe80::a8c1:abff:fe77:e76e%Ethernet72/64   up/up         N/A             N/A
Ethernet76             fe80::a8c1:abff:fe77:e76e%Ethernet76/64   up/up         N/A             N/A
Ethernet80             fe80::a8c1:abff:fe77:e76e%Ethernet80/64   up/up         N/A             N/A
Ethernet84             fe80::a8c1:abff:fe77:e76e%Ethernet84/64   up/up         N/A             N/A
Ethernet88             fe80::a8c1:abff:fe77:e76e%Ethernet88/64   up/up         N/A             N/A
Ethernet92             fe80::a8c1:abff:fe77:e76e%Ethernet92/64   up/up         N/A             N/A
Ethernet96             fe80::a8c1:abff:fe77:e76e%Ethernet96/64   up/up         N/A             N/A
Ethernet100            fe80::a8c1:abff:fe77:e76e%Ethernet100/64  up/up         N/A             N/A
Ethernet104            fe80::a8c1:abff:fe77:e76e%Ethernet104/64  up/up         N/A             N/A
Ethernet108            fe80::a8c1:abff:fe77:e76e%Ethernet108/64  up/up         N/A             N/A
Ethernet112            fe80::a8c1:abff:fe77:e76e%Ethernet112/64  up/up         N/A             N/A
Ethernet116            fe80::a8c1:abff:fe77:e76e%Ethernet116/64  up/up         N/A             N/A
Ethernet120            fe80::a8c1:abff:fe77:e76e%Ethernet120/64  up/up         N/A             N/A
Ethernet124            fe80::a8c1:abff:fe77:e76e%Ethernet124/64  up/up         N/A             N/A
Loopback0              fe80::d022:dff:fe56:d870%Loopback0/64     up/up         N/A             N/A
docker0                fd00::1/80                                up/down       N/A             N/A
dummy        Bridge    fe80::1cf2:76ff:fe60:265a%dummy/64        up/up         N/A             N/A
eth0                   fe80::e00:ccff:fe2c:ca00%eth0/64          up/up         N/A             N/A
                       fec0::e00:ccff:fe2c:ca00/64                             N/A             N/A
eth1                   fe80::a8c1:abff:fe2c:75f3%eth1/64         up/up         N/A             N/A
eth2                   fe80::a8c1:abff:fe65:18f1%eth2/64         up/up         N/A             N/A
lo                     ::1/128                                   up/up         N/A             N/A
sr0                    fe80::9055:6eff:feb7:92ff%sr0/64          up/up         N/A             N/A
